id_obra,cidade,uf,tipo_empreendimento,empresa_responsavel,area_construida_m2,valor_contratado,valor_aditivos,valor_executado,valor_materiais,valor_mao_de_obra,valor_compras,qtd_funcionarios,prazo_previsto_dias,prazo_realizado_dias,qtd_medicoes,qtd_fornecedores,custo_por_m2,custo_por_funcionario,custo_diario,pct_aditivos,pct_execucao,proporcao_materiais,proporcao_mao_de_obra,m2_por_funcionario,dias_por_m2,estouro_prazo_pct,fornecedores_por_milhao,qtd_flags,flag_estatistica,score_iforest,flag_iforest,score_lof,flag_lof,risk_score,faixa_risco
1000,Curitiba,PR,residencial_popular,Construtora Planalto,4338.0,8828442.43,83143.93,13441699.52,7461670.43,2915964.29,7830993.01,141,647,719,23,15,3098.593711387736,95331.20226950354,18694.9923783032,0.9417734856317118,152.25448459995226,55.51136163174699,21.69341968745333,30.76595744680851,0.1657445827570308,11.128284389489965,1.699053951921166,7,True,0.4187569848422825,False,0.4688597479073481,True,90.7,critico
1001,Campinas,SP,residencial_padrao,Estrutural Engenharia,3766.0,10594957.06,587580.2,10860855.05,6355099.13,3785032.13,6637609.53,119,539,1127,37,13,2883.923274030802,91267.68949579832,9636.961002661936,5.545847865852511,102.5096655748032,58.51380117627111,34.85022231283714,31.647058823529413,0.2992565055762082,109.09090909090908,1.2269988378791976,3,True,0.429128245632585,False,0.5326350280077325,True,91.0,critico
1002,Uberlandia,MG,industrial,Construtora Serrana,3579.0,22803453.02,1557587.47,25926223.41,13837950.62,8675762.61,14192019.75,93,518,539,17,11,7243.985305951383,278776.59580645163,48100.60001855288,6.830489525572737,113.6942873838499,53.374339953664695,33.46327181094055,38.483870967741936,0.150600726459905,4.054054054054057,0.4823830842790492,0,False,0.2849602378119882,False,0.0236519716490021,False,59.8,medio
1003,Sao Paulo,SP,residencial_padrao,Alfa Construcoes,4127.0,14586734.48,1214605.58,15246146.47,8716620.94,5031757.51,9213161.85,115,668,747,24,15,3694.244359098619,132575.18669565217,20409.834631860776,8.326781992675308,104.52062790958544,57.17261707508703,33.00347087640173,35.88695652173913,0.1810031499878846,11.826347305389229,1.028331599547975,0,False,0.0178107033219774,False,0.0062171862786875,False,24.6,baixo
1004,Uberlandia,MG,industrial,Estrutural Engenharia,3445.0,22627309.14,1595599.5,27943440.4,12743453.17,13176109.21,13275437.96,168,649,731,24,8,8111.303454281567,166330.00238095238,38226.32065663474,7.051653778748877,123.494314887855,45.6044530937572,47.1527808365358,20.50595238095238,0.2121915820029027,12.63482280431434,0.3535550758820807,3,True,0.6080150506798089,True,0.304534587839918,True,95.1,critico
1005,Belo Horizonte,MG,residencial_popular,Estrutural Engenharia,3234.0,6295160.75,352029.9,6805396.56,3648039.61,2287494.18,3924339.49,94,649,622,20,11,2104.327940630797,72397.83574468085,10941.152025723472,5.592071655993852,108.10520700364958,53.60509968577056,33.612944665784475,34.40425531914894,0.1923314780457637,-4.160246533127888,1.747373964993666,0,False,0.0454924543245417,False,0.0039115341607496,False,22.9,baixo
1006,Contagem,MG,industrial,Vertice Engenharia,4210.0,23641139.72,1853224.71,25972835.31,13963675.15,9446404.8,14384571.34,126,739,705,23,16,6169.319551068883,206133.6135714285,36840.901148936166,7.838982096248953,109.86287301549775,53.76261383609413,36.37032571628007,33.41269841269841,0.167458432304038,-4.60081190798376,0.6767863220428529,0,False,0.0871413317093412,False,0.0081757334294764,False,34.0,medio
1007,Curitiba,PR,residencial_padrao,Engenharia Vale Verde,3000.0,10249007.99,713659.31,11181499.17,6105775.93,3771531.42,6396462.48,112,619,584,19,11,3727.16639,99834.81401785716,19146.402688356164,6.963203762708746,109.0983554789872,54.60605807119153,33.73010508393214,26.785714285714285,0.1946666666666666,-5.654281098546043,1.0732746047942148,0,False,0.0775059182276331,False,0.0189228077929822,False,34.9,medio
1008,Salvador,BA,residencial_padrao,Delta Obras,2467.0,9336738.29,727099.34,10286504.74,5273431.1,3536879.63,5386806.38,74,369,336,11,16,4169.641159302797,139006.8208108108,30614.59744047619,7.787509057405528,110.17235806017224,51.26552928609256,34.38368735928857,33.33783783783784,0.1361978111066072,-8.943089430894313,1.71366054215492,1,False,0.1164688557329066,False,0.0246273559020387,False,59.0,medio
1009,Goiania,GO,comercial,Engenharia Mineira,2215.0,7725387.3,585985.71,11759469.7,6577154.29,2868134.12,7222066.4,65,427,454,15,15,5309.015665914221,180914.91846153844,25901.91563876652,7.58519524322101,152.21851336825534,55.9307048514271,24.38999540940184,34.07692307692308,0.2049661399548532,6.323185011709609,1.941650226390592,3,True,0.3622991854499843,False,0.3943916108165115,True,87.8,critico
1010,Campinas,SP,residencial_popular,Alfa Construcoes,3563.0,7716837.05,453475.74,8013503.69,4110422.24,2711014.02,4146180.51,93,611,569,18,10,2249.0888829637947,86166.70634408602,14083.486274165203,5.876445712949193,103.84440721085332,51.29369622839719,33.830570557832985,38.31182795698925,0.1596968846477687,-6.873977086743044,1.295867715646529,0,False,0.0760112976630971,False,0.0150001247454751,False,32.1,medio
1011,Campinas,SP,residencial_padrao,Estrutural Engenharia,4533.0,18578631.51,911666.44,19732606.85,10071887.1,5644287.47,10656372.24,146,799,799,26,14,4353.1010037502765,135154.84143835618,24696.629349186485,4.907069928747405,106.211304311509,51.04184751950297,28.60386117711558,31.04794520547945,0.1762629605118023,0.0,0.7535538875651019,0,False,0.0867181672333587,False,0.0314563603484549,False,42.4,medio
1012,Goiania,GO,residencial_padrao,Construtora Horizonte,2754.0,7529314.3,81750.09,7500024.77,4108878.8,3022794.21,4330381.21,68,491,469,15,11,2723.320541031227,110294.4819117647,15991.524029850743,1.0857574374335788,99.61099339417932,54.78486973050357,40.30378969001725,40.5,0.1702977487291213,-4.480651731160901,1.460956411395922,0,False,0.1329693745138208,False,0.0296707830918646,False,45.3,medio
1013,Uberlandia,MG,industrial,Engenharia Mineira,8641.0,45458157.93,3674162.31,47801433.02,28072009.16,17282537.79,29343695.4,248,1577,1712,57,13,5531.932996180998,192747.7137903226,27921.39779205608,8.08251472850651,105.15479552340938,58.72629205123357,36.15485289482645,34.84274193548387,0.1981252169887744,8.560558021559928,0.2859772721107267,0,False,0.0735322304660153,False,0.0122501260473922,False,35.2,medio
1014,Campinas,SP,residencial_padrao,Vertice Engenharia,3250.0,12709420.96,1132145.68,13792302.43,7743454.36,5367688.98,8181590.43,98,472,511,17,21,4243.785363076923,140737.77989795918,26990.8071037182,8.907924944520838,108.52030531845725,56.14330456644432,38.91800522242464,33.16326530612245,0.1572307692307692,8.262711864406768,1.6523176048769417,0,False,0.0573047096145999,False,0.0153847744100637,False,28.5,baixo
1015,Sao Paulo,SP,industrial,Beta Engenharia,1616.0,7706149.26,94599.1,8204124.84,4453356.74,2777132.2,4871274.56,54,305,335,11,13,5076.809925742574,151928.23777777777,24489.92489552239,1.2275793889826632,106.4620546942274,54.281923140506485,33.85043809255345,29.925925925925927,0.2073019801980198,9.836065573770504,1.686964469722716,0,False,0.0748196702202327,False,0.0199515051222965,False,32.6,medio
1016,Ribeirao Preto,SP,residencial_padrao,Delta Obras,3529.0,13527951.57,178328.46,13971060.19,6538359.99,4869451.63,6699877.7,122,666,681,22,18,3958.928928875035,114516.88680327868,20515.506886930983,1.3182221940790109,103.27550418632968,46.7993115846708,34.853844760366755,28.92622950819672,0.1929725134599036,2.2522522522522515,1.330578388520946,0,False,0.1275062811234247,False,0.0282332779403853,False,44.6,medio
1017,Belo Horizonte,MG,residencial_popular,Obras & Cia,3027.0,5082204.78,152948.29,5392640.79,3082026.96,2103787.5,3221842.59,96,520,556,18,15,1781.5133102081268,56173.3415625,9698.994226618704,3.009486957351608,106.1082940069959,57.15246166062546,39.01219424629988,31.53125,0.1836802114304592,6.923076923076921,2.95147493053202,0,False,0.1053129180618638,False,0.0157814383866222,False,33.0,medio
1018,Uberlandia,MG,industrial,Obras & Cia,3341.0,27615792.68,1646018.76,28512788.06,15354269.4,8727671.47,15849886.63,91,479,475,15,12,8534.207740197546,313327.3413186813,60026.92223157895,5.960425540100775,103.24812468863016,53.85046656149417,30.609673987805746,36.71428571428572,0.142173002095181,-0.8350730688935326,0.4345339689883564,1,False,0.4889465806740161,True,0.0989399208563025,False,91.2,critico
1019,Campinas,SP,residencial_popular,Alfa Construcoes,2748.0,4216521.3,365883.98,4886361.99,2584017.79,1581686.92,2705911.4,104,569,694,23,9,1778.1521069868998,46984.24990384616,7040.86742074928,8.677389581786294,115.88609762270146,52.882242357161104,32.36941764111913,26.423076923076923,0.25254730713246,21.96836555360282,2.1344609358430136,0,False,0.3288043703098198,False,0.1220136163527118,False,65.2,alto
1020,Curitiba,PR,industrial,Construtora Atlantica,12740.0,63006817.03,3745337.31,67436141.41,41752945.73,21606154.49,43533360.84,327,2006,2045,68,14,5293.26070722135,206226.7321406728,32976.10826894865,5.944336639346023,107.02991293448616,61.91479058113565,32.03942876659912,38.960244648318046,0.1605180533751962,1.9441674975074763,0.2221981788626785,0,False,0.1401652212534231,False,0.028231059550245,False,51.0,medio
