id_obra,cidade,uf,tipo_empreendimento,empresa_responsavel,area_construida_m2,valor_contratado,valor_aditivos,valor_executado,valor_materiais,valor_mao_de_obra,valor_compras,qtd_funcionarios,prazo_previsto_dias,prazo_realizado_dias,qtd_medicoes,qtd_fornecedores,custo_por_m2,custo_por_funcionario,custo_diario,pct_aditivos,pct_execucao,proporcao_materiais,proporcao_mao_de_obra,m2_por_funcionario,dias_por_m2,estouro_prazo_pct,fornecedores_por_milhao
1000,Curitiba,PR,residencial_popular,Construtora Planalto,4338.0,8828442.43,83143.93,13441699.52,7461670.43,2915964.29,7830993.01,141,647,719,23,15,3098.593711387736,95331.20226950354,18694.9923783032,0.9417734856317118,152.25448459995226,55.51136163174699,21.693419687453332,30.76595744680851,0.16574458275703088,11.128284389489963,1.699053951921166
1001,Campinas,SP,residencial_padrao,Estrutural Engenharia,3766.0,10594957.06,587580.2,10860855.05,6355099.13,3785032.13,6637609.53,119,539,1127,37,13,2883.923274030802,91267.68949579833,9636.961002661936,5.545847865852511,102.5096655748032,58.51380117627111,34.85022231283714,31.647058823529413,0.2992565055762082,109.09090909090908,1.2269988378791976
1002,Uberlandia,MG,industrial,Construtora Serrana,3579.0,22803453.02,1557587.47,25926223.41,13837950.62,8675762.61,14192019.75,93,518,539,17,11,7243.985305951383,278776.59580645163,48100.600018552876,6.830489525572737,113.6942873838499,53.374339953664695,33.46327181094055,38.483870967741936,0.150600726459905,4.054054054054057,0.48238308427904925
1003,Sao Paulo,SP,residencial_padrao,Alfa Construcoes,4127.0,14586734.48,1214605.58,15246146.47,8716620.94,5031757.51,9213161.85,115,668,747,24,15,3694.244359098619,132575.18669565217,20409.834631860776,8.326781992675308,104.52062790958543,57.17261707508703,33.00347087640173,35.88695652173913,0.18100314998788467,11.826347305389229,1.028331599547975
1004,Uberlandia,MG,industrial,Estrutural Engenharia,3445.0,22627309.14,1595599.5,27943440.4,12743453.17,13176109.21,13275437.96,168,649,731,24,8,8111.303454281567,166330.00238095238,38226.32065663474,7.051653778748877,123.49431488785501,45.6044530937572,47.1527808365358,20.50595238095238,0.21219158200290275,12.63482280431434,0.35355507588208074
1005,Belo Horizonte,MG,residencial_popular,Estrutural Engenharia,3234.0,6295160.75,352029.9,6805396.56,3648039.61,2287494.18,3924339.49,94,649,622,20,11,2104.3279406307975,72397.83574468085,10941.152025723472,5.592071655993852,108.10520700364958,53.605099685770554,33.612944665784475,34.40425531914894,0.19233147804576375,-4.1602465331278875,1.747373964993666
1006,Contagem,MG,industrial,Vertice Engenharia,4210.0,23641139.72,1853224.71,25972835.31,13963675.15,9446404.8,14384571.34,126,739,705,23,16,6169.319551068883,206133.61357142855,36840.901148936166,7.838982096248953,109.86287301549775,53.76261383609413,36.37032571628007,33.41269841269841,0.167458432304038,-4.6008119079837595,0.6767863220428529
1007,Curitiba,PR,residencial_padrao,Engenharia Vale Verde,3000.0,10249007.99,713659.31,11181499.17,6105775.93,3771531.42,6396462.48,112,619,584,19,11,3727.16639,99834.81401785715,19146.402688356164,6.963203762708746,109.09835547898719,54.60605807119153,33.73010508393214,26.785714285714285,0.19466666666666665,-5.654281098546043,1.0732746047942148
1008,Salvador,BA,residencial_padrao,Delta Obras,2467.0,9336738.29,727099.34,10286504.74,5273431.1,3536879.63,5386806.38,74,369,336,11,16,4169.641159302797,139006.8208108108,30614.59744047619,7.787509057405528,110.17235806017223,51.26552928609256,34.38368735928857,33.33783783783784,0.13619781110660723,-8.943089430894313,1.71366054215492
1009,Goiania,GO,comercial,Engenharia Mineira,2215.0,7725387.3,585985.71,11759469.7,6577154.29,2868134.12,7222066.4,65,427,454,15,15,5309.015665914221,180914.91846153844,25901.915638766517,7.58519524322101,152.21851336825534,55.9307048514271,24.38999540940184,34.07692307692308,0.20496613995485327,6.323185011709609,1.9416502263905915
